"","Company","SpecificBeanOrigin_BarName","REF","Review_Date","Cocoa_Percent","Company_Location","Rating","Bean_Type","Broad.Bean_Origin","bean_type_simplified"
"144","Cacao Sampaka","Mahali, Kasai",1908,2016,"70%","Spain",3.5,"Criollo","Congo","Criollo"
"145","Cacao Sampaka","Madagascar",508,2010,"71%","Spain",3.5,"Trinitario","Madagascar","Trinitario"
"146","Cacao Sampaka","Grenada",537,2010,"71%","Spain",3.25,"Trinitario","Grenada","Trinitario"
"147","Cacao Sampaka","Porcelana, Tabasco, La Joya",336,2009,"70%","Spain",4,"Criollo","Mexico","Criollo"
"148","Cacao Sampaka","Xoconusco, Chiapas",346,2009,"70%","Spain",4,"Criollo","Mexico","Criollo"
"149","Cacao Store","Madagascar",1684,2015,"70%","Japan",3,"Trinitario","Madagascar","Trinitario"
"150","Cacao Store","Vietnam",1684,2015,"70%","Japan",3.5,"Trinitario","Vietnam","Trinitario"
"151","Cacaoyere (Ecuatoriana)","Amazonia",237,2008,"63%","Ecuador",3.5,"Forastero","Ecuador","Forastero"
"152","Cacaoyere (Ecuatoriana)","Esmeraldas",237,2008,"71%","Ecuador",3.5,"Forastero","Ecuador","Forastero"
"153","Cacaoyere (Ecuatoriana)","Bolivar",245,2008,"82%","Ecuador",2.5,"Forastero","Ecuador","Forastero"
"154","Cacaoyere (Ecuatoriana)","Pichincha",259,2008,"91%","Ecuador",1.5,"Forastero","Ecuador","Forastero"
"155","Callebaut","Grenade",296,2008,"60%","Belgium",2.75,"Trinitario","Grenada","Trinitario"
"156","C-Amaro","Lago di Como, Blu",1442,2014,"70%","Italy",3.5,"Blend"," ","Blend"
"157","C-Amaro","Sao Tome",749,2011,"78%","Italy",2.25,"Forastero","Sao Tome","Forastero"
"158","C-Amaro","Trinidad",765,2011,"70%","Italy",2.5,"Trinitario","Trinidad","Trinitario"
"159","Cao","Porcelana",1804,2016,"75%","U.S.A.",2.5,"Criollo","Venezuela","Criollo"
"160","Cao","Porcelana, Batch 5163",1804,2016,"70%","U.S.A.",3,"Criollo","Venezuela","Criollo"
"161","Cao","Brazil",1808,2016,"70%","U.S.A.",3.25,"Trinitario","Brazil","Trinitario"
"162","Caoni (Tulicorp)","Esmeraldas",237,2008,"77%","Ecuador",2,"Forastero","Ecuador","Forastero"
"163","Caoni (Tulicorp)","Manabi",237,2008,"77%","Ecuador",2.5,"Forastero","Ecuador","Forastero"
"164","Caoni (Tulicorp)","Los Rios",245,2008,"77%","Ecuador",2.75,"Forastero","Ecuador","Forastero"
"165","Caoni (Tulicorp)","Manabi",266,2008,"55%","Ecuador",3,"Forastero","Ecuador","Forastero"
"166","Caoni (Tulicorp)","Los Rios",269,2008,"55%","Ecuador",3.25,"Forastero","Ecuador","Forastero"
"167","Caoni (Tulicorp)","Esmeraldas",269,2008,"55%","Ecuador",3.5,"Forastero","Ecuador","Forastero"
"168","Captain Pembleton","Saidor Estate, Madang P.",1263,2014,"70%","New Zealand",3.5,"Trinitario","Papua New Guinea","Trinitario"
"169","Caribeans","Costa Rica",841,2012,"72%","Costa Rica",3,"Forastero","Costa Rica","Forastero"
"170","Caribeans","Costa Rica",845,2012,"80%","Costa Rica",2.75,"Forastero","Costa Rica","Forastero"
"171","Carlotta Chocolat","Arauca",1884,2016,"65%","Colombia",3,"Trinitario","Colombia","Trinitario"
"172","Carlotta Chocolat","Tumaco",1888,2016,"65%","Colombia",3.25,"Trinitario","Colombia","Trinitario"
"173","Carlotta Chocolat","Cordoba",1888,2016,"65%","Colombia",3.25,"Trinitario","Colombia","Trinitario"
"174","Carlotta Chocolat","Huila",1888,2016,"65%","Colombia",3.5,"Trinitario","Colombia","Trinitario"
"175","Carlotta Chocolat","Cesar",1888,2016,"65%","Colombia",3.5,"CCN51","Colombia","CCN51"
"176","Castronovo","Maya Mtn, Batch 454, Heirloom",1724,2016,"72%","U.S.A.",4,"Trinitario","Belize","Trinitario"
"177","Castronovo","the lost city, gracias a dias, batch 362",1570,2015,"72%","U.S.A.",3.5,"Trinitario","Honduras","Trinitario"
"178","Castronovo","Duarte, Batch 360",1570,2015,"70%","U.S.A.",3.75,"Criollo","Domincan Republic","Criollo"
"179","Castronovo","Sierra Nevada",1347,2014,"72%","U.S.A.",3.5,"Criollo","Colombia","Criollo"
"180","Castronovo","Arauca",1371,2014,"76%","U.S.A.",3.5,"Criollo","Colombia","Criollo"
"181","Castronovo","Elvesia P.",1407,2014,"70%","U.S.A.",2.75,"Trinitario","Dominican Republic","Trinitario"
"182","Castronovo","Bolivia",1101,2013,"70%","U.S.A.",3,"Trinitario","Bolivia","Trinitario"
"183","Castronovo","Conacado",1101,2013,"73%","U.S.A.",3.5,"Trinitario","Dominican Republic","Trinitario"
"184","Castronovo","San Martin",1105,2013,"70%","U.S.A.",2.5,"Criollo","Peru","Criollo"
"185","Castronovo","Nicaragua",1109,2013,"72%","U.S.A.",3.25,"Trinitario","Nicaragua","Trinitario"
"186","Castronovo","Tumbes",1153,2013,"70%","U.S.A.",2.75,"Criollo","Peru","Criollo"
"187","Chaleur B","Uganda",1426,2014,"70%","Canada",2.75,"Forastero","Uganda","Forastero"
"188","Chchukululu (Tulicorp)","Arriba",486,2010,"55%","Ecuador",2.75,"Forastero","Ecuador","Forastero"
"189","Chchukululu (Tulicorp)","Los Rios",252,2008,"75%","Ecuador",3,"Forastero","Ecuador","Forastero"
"190","Choco Del Sol","Maya Mountain w/ nibs",1407,2014,"75%","Germany",3,"Trinitario","Belize","Trinitario"
"191","Choco Del Sol","Maya Mountain",1407,2014,"82%","Germany",3.25,"Trinitario","Belize","Trinitario"
"192","Choco Dong","Mekong Delta, early 2014 Harvest",1696,2015,"70%","South Korea",2.75,"Trinitario","Vietnam","Trinitario"
"193","Choco Dong","Tawau, Oct. 2015 Harvest",1696,2015,"70%","South Korea",3.5,"Trinitario","Malaysia","Trinitario"
"194","Chocolarder","Peru",1482,2015,"65%","U.K.",2.5,"Criollo","Peru","Criollo"
"195","Chocolarder","Peru + nibs",1482,2015,"65%","U.K.",2.75,"Criollo","Peru","Criollo"
"196","Chocola'te","Madagascar",647,2011,"70%","U.S.A.",3.75,"Trinitario","Madagascar","Trinitario"
"197","Chocolate Con Amor","Ocumare",1764,2016,"80%","U.S.A.",3,"Criollo","Venezuela","Criollo"
"198","Chocolate Makers","Tres Hombres",1530,2015,"75%","Amsterdam",3.25,"Trinitario","Dominican Republic","Trinitario"
"199","Chocolate Makers","Congo, Gorilla bar",1530,2015,"68%","Amsterdam",3.5,"Forastero","Congo","Forastero"
"200","Chocolate Makers","Peru, Awagum bar",1530,2015,"80%","Amsterdam",3.75,"Criollo","Peru","Criollo"
"201","Chocolate Tree, The","Maranon",1582,2015,"69%","Scotland",3.75,"Forastero","Peru","Forastero"
"202","Chocolate Tree, The","Carenero Superior",1582,2015,"80%","Scotland",3.75,"Trinitario","Venezuela","Trinitario"
"203","Chocolate Tree, The","Peru",1121,2013,"70%","Scotland",3.75,"Forastero","Peru","Forastero"
"204","Chocolate Tree, The","Ecuador",919,2012,"82%","Scotland",2.5,"Forastero","Ecuador","Forastero"
"205","Chocolate Tree, The","Peru",919,2012,"68%","Scotland",2.75,"Criollo","Peru","Criollo"
"206","Chocolate Tree, The","Madagascar",919,2012,"72%","Scotland",3.25,"Criollo","Madagascar","Criollo"
"207","Chocolats Privilege","Xoconusco",1219,2014,"70%","Canada",2.5,"Criollo","Mexico","Criollo"
"208","ChocoReko","Patanemo",1454,2015,"77%","Japan",3,"Criollo","Venezuela","Criollo"
"209","Chocovic","Xoconusco",478,2010,"71%","Spain",3.25,"Criollo","Mexico","Criollo"
"210","Chocovic","Sambirano",478,2010,"71%","Spain",3.5,"Trinitario","Madagascar","Trinitario"
"211","Chocovic","Ocumare",209,2008,"71%","Spain",3.5,"Criollo","Venezuela","Criollo"
"212","Chocovic","Bolivar, Guaranda",117,2007,"71%","Spain",2.5,"Forastero","Ecuador","Forastero"
"213","Chocovic","Guyave",117,2007,"71%","Spain",2.5,"Trinitario","Grenada","Trinitario"
"214","Chocovic","Maragda",117,2007,"70%","Spain",3,"Blend"," ","Blend"
"215","Chocovivo","Tabasco",1522,2015,"65%","U.S.A.",2.5,"Trinitario","Mexico","Trinitario"
"216","Chocovivo","Tabasco",1522,2015,"75%","U.S.A.",2.5,"Trinitario","Mexico","Trinitario"
"217","Choklat","Ocumare",377,2009,"80%","Canada",2.5,"Criollo","Venezuela","Criollo"
"218","Choklat","Porcelana, Tabasco",377,2009,"70%","Canada",2.75,"Criollo","Mexico","Criollo"
"219","Choklat","Ocumare",377,2009,"70%","Canada",3,"Criollo","Venezuela","Criollo"
"220","Christopher Morel (Felchlin)","Maranon Canyon, Fortunato No. 4",666,2011,"68%","Canada",3.75,"Forastero","Peru","Forastero"
"221","Chuao Chocolatier","Choroni",445,2009,"61%","U.S.A.",3,"Criollo","Venezuela","Criollo"
"222","Chuao Chocolatier (Pralus)","Chuao",486,2010,"77%","U.S.A.",2.75,"Trinitario","Venezuela","Trinitario"
"223","Claudio Corallo","Terreiro Velho P.",470,2010,"73.5%","Sao Tome",3.75,"Forastero","Sao Tome & Principe","Forastero"
"224","Claudio Corallo","Terreiro Velho P. w/ sugar crystals",209,2008,"80%","Sao Tome",3,"Forastero","Sao Tome & Principe","Forastero"
"225","Claudio Corallo","Terreiro Velho P.",227,2008,"75%","Sao Tome",4,"Forastero","Sao Tome & Principe","Forastero"
"226","Claudio Corallo","Principe",252,2008,"100%","Sao Tome",1,"Forastero","Sao Tome & Principe","Forastero"
"227","Coleman & Davis","Sambirano",1646,2015,"75%","U.S.A.",3,"Trinitario","Madagascar","Trinitario"
"228","Compania de Chocolate (Salgado)","Carenero Superior",292,2008,"80%","Argentina",2.75,"Trinitario","Venezuela","Trinitario"
"229","Compania de Chocolate (Salgado)","Ocumare",292,2008,"70%","Argentina",3.75,"Criollo","Venezuela","Criollo"
"230","Compania de Chocolate (Salgado)","Esmeraldas",296,2008,"88%","Argentina",2.75,"Forastero","Ecuador","Forastero"
"231","Confluence","Tien Giang, 2015, batch 10-2-16",1916,2016,"78%","U.S.A.",2.75,"Trinitario","Vietnam","Trinitario"
"232","Coppeneur","Ecuador, Puristique",1169,2013,"65%","Germany",3.25,"Forastero","Ecuador","Forastero"
"233","Coppeneur","Ghana Puristique",813,2012,"85%","Germany",3.5,"Forastero","Ghana","Forastero"
"234","Coppeneur","Uba Budo",821,2012,"72%","Germany",3.75,"Forastero","Sao Tome & Principe","Forastero"
"235","Coppeneur","Madagascar",959,2012,"70%","Germany",3.5,"Trinitario","Madagascar","Trinitario"
"236","Coppeneur","Grenada",470,2010,"72%","Germany",3.25,"Trinitario","Grenada","Trinitario"
"237","Coppeneur","Chuao",478,2010,"70%","Germany",3,"Trinitario","Venezuela","Trinitario"
"238","Coppeneur","Los Rios, H. Iara",558,2010,"72%","Germany",2.5,"Nacional","Ecuador","Nacional"
"239","Coppeneur","Trinidad",558,2010,"72%","Germany",3,"Trinitario","Trinidad","Trinitario"
"240","Coppeneur","Jamaica",558,2010,"72%","Germany",3.25,"Trinitario","Jamaica","Trinitario"
"241","Coppeneur","Ocumare 61",558,2010,"72%","Germany",3.25,"Criollo","Venezuela","Criollo"
"242","Coppeneur","Porcelana, Apotequil",341,2009,"72%","Germany",3,"Criollo","Peru","Criollo"
"243","Coppeneur","Porcelana, Apotequil",445,2009,"62%","Germany",3.25,"Criollo","Peru","Criollo"
"244","Coppeneur","Chuao 100hr",451,2009,"70%","Germany",3.5,"Criollo","Venezuela","Criollo"
